"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","C2","ke0","Ceff","centr","peri","AUC","Drug"
"43",2,2,2,8.90821312917926,1.14423343344632,2.10833689545199,7.16433102003192,0.23667337824979,1.84257585368913,2,2,0.804238842980174,0.226786974417635,0.335106602814072,0.5,0.226786974417635,2.02026670303401,0.383440178708476,1.06029343102905,"Drug2"
"44",2,2,2,16.1528099517844,1.73942912327298,1.3431763475381,5.49574139615138,0.0831543459959869,0.772193778732834,2,2,0.340234387240114,0.293397062307697,0.307845772945454,0.5,0.293397062307697,4.73918698786807,0.535475902937803,0.859817951496634,"Drug2"
"45",2,2,2,9.97039493350178,1.06505021504715,2.31553202827896,8.91089334784155,0.232240753121873,2.17410596755426,2,2,0.893735243916951,0.173598617447114,0.25847112060282,0.5,0.173598617447114,1.73084677585762,0.275284722581512,0.897089460003153,"Drug2"
"46",2,2,2,11.5699240846757,1.25095399345771,1.88050931880914,4.51888292885148,0.162534283288847,1.50326017474975,2,2,0.390571528022099,0.373038101237722,0.44680439438403,0.5,0.373038101237722,4.31602251201202,0.558931741449157,1.13413996937544,"Drug2"
"47",2,2,2,4.61384422887786,0.956174776882949,1.81666841683258,4.98777375126989,0.393742902168679,1.89993342300324,2,2,1.08104511202429,0.277563049821175,0.456489772563816,0.5,0.277563049821175,1.28063267556717,0.436484006430554,1.66063733662608,"Drug2"
"48",2,2,2,13.5356035678526,1.65570530484185,3.17190225171804,5.83844652238484,0.234337703214904,1.91574082805818,2,2,0.431339946764642,0.295280567099144,0.355892465492,0.5,0.295280567099144,3.99680069754471,0.589253043068348,0.927292258074069,"Drug2"
"49",2,2,2,9.45859997273556,0.979448694996015,2.84426901109517,8.18894551529245,0.300707189149957,2.90394895171792,2,2,0.865767189530915,0.194830752191801,0.261905176394087,0.5,0.194830752191801,1.84282614736942,0.25652268323189,0.964794692386782,"Drug2"
"50",2,2,2,11.8948857627095,0.987503066763036,1.41242755667727,7.52183033235611,0.118742422992008,1.43030194458748,2,2,0.632358349832754,0.231798416585809,0.326107359858093,0.5,0.231798416585809,2.75721568526515,0.322032017953864,0.920088860155552,"Drug2"
"51",2,2,2,18.1096799695033,0.662188552343126,2.00565174360465,5.42296335875725,0.110750258810877,3.02882273713089,2,2,0.299451087368165,0.297292384505319,0.327392102838904,0.5,0.297292384505319,5.38386994076186,0.216795302627465,0.811241836902039,"Drug2"
"52",2,2,2,6.57339471781354,1.04122249680046,2.05221946752138,4.22884182177798,0.312200857489963,1.97097111695875,2,2,0.643326926697107,0.410536439085792,0.543892120865051,0.5,0.410536439085792,2.69861806015652,0.566312712077206,1.59265101690055,"Drug2"
