"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","ke0","Ceff","centr","AUC","Drug"
"16",2,2,2,3.88717272051456,1,2,0.644078361895567,0.5,0.25,2,2,0.165693270714842,1.84691460408193,0.5,1.84691460408193,7.17927606610722,4.37947321439457,"Drug1"
"17",2,2,2,2.16154984312601,1,2,1.07851495282526,0.5,0.25,2,2,0.498954468366793,1.70548696341691,0.5,1.70548696341691,3.68649507822726,5.85388724118658,"Drug1"
"18",2,2,2,2.56223890131015,1,2,0.845717053075741,0.5,0.25,2,2,0.330069554655228,2.01690576747318,0.5,2.01690576747318,5.16779441769659,5.71373790410095,"Drug1"
"19",2,2,2,3.31852273553421,1,2,1.18705673509344,0.5,0.25,2,2,0.357706374099121,1.47351782891848,0.5,1.47351782891848,4.88990241648099,4.30484696514255,"Drug1"
"20",2,2,2,2.66721766475141,1,2,0.753350626263292,0.5,0.25,2,2,0.282448124207931,2.13113135209482,0.5,2.13113135209482,5.68419118821284,5.7288182438954,"Drug1"
"21",2,2,2,2.49459471132695,1,2,1.0222095230415,0.5,0.25,2,2,0.409769778794148,1.76635705360429,0.5,1.76635705360429,4.40634496423632,5.47212182011398,"Drug1"
"22",2,2,2,2.2108260657262,1,2,1.1611470765606,0.5,0.25,2,2,0.525209601316688,1.5821737102682,0.5,1.5821737102682,3.49791087916767,5.59971191598912,"Drug1"
"23",2,2,2,1.97966740264325,1,2,0.562468312286898,0.5,0.25,2,2,0.284122631678377,2.86168604928494,0.5,2.86168604928494,5.66518658836835,7.70676910492446,"Drug1"
"24",2,2,2,1.80432293043567,1,2,1.0568087190212,0.5,0.25,2,2,0.58570929914748,1.7176912487996,0.5,1.7176912487996,3.0992697076178,6.52978175537152,"Drug1"
"25",2,2,2,1.93197308507487,1,2,0.521379675973903,0.5,0.25,2,2,0.269869016293101,3.01712761215933,0.5,3.01712761215933,5.82900934092804,7.9999103365141,"Drug1"
"26",2,2,2,2.87199123555502,1,2,1.03765900954091,0.5,0.25,2,2,0.361302986128499,1.69041409253334,0.5,1.69041409253334,4.85485445821445,4.95841648795775,"Drug1"
"27",2,2,2,3.76884116730274,1,2,0.896963062017975,0.5,0.25,2,2,0.237994391963169,1.64843893178128,0.5,1.64843893178128,6.21270450788184,4.2223539100903,"Drug1"
"28",2,2,2,2.38333822309689,1,2,0.879618906778411,0.5,0.25,2,2,0.369070112774611,2.00559896290642,0.5,2.00559896290642,4.78002066849836,5.93436463367952,"Drug1"
"29",2,2,2,2.74042018073409,1,2,0.877337702567905,0.5,0.25,2,2,0.32014714704549,1.92356366576461,0.5,1.92356366576461,5.2713726885882,5.38974592972745,"Drug1"
"30",2,2,2,2.63966172053224,1,2,1.0771539622414,0.5,0.25,2,2,0.408065152387863,1.67498468091628,0.5,1.67498468091628,4.42139294469262,5.17902477348653,"Drug1"
"31",2,2,2,3.62266922758791,1,2,1.10852520446254,0.5,0.25,2,2,0.305996803688488,1.49687616130524,0.5,1.49687616130524,5.42268720707042,4.12919144689077,"Drug1"
"32",2,2,2,2.46621330619325,1,2,0.575016534804998,0.5,0.25,2,2,0.233157664570617,2.54361389890899,0.5,2.54361389890899,6.27309444330744,6.48138850121318,"Drug1"
